pivot,derivation,similarity,category,affix
palić,palenie,0.9088691,V:N,-enie
odrodzić,odradzać,0.83786476,V:V,-ać
dokonać,dokonywać,0.9661636,V:V,-ywać
konać,dokonać,0.6494484,V:V,do-
przyprawić,przyprawiać,0.8627519,V:V,-ać
droga,drogowy,0.77418387,N:ADJ,-owy
ciepły,ciepło,0.91724175,ADJ:ADV,-o
przedać,sprzedać,0.70154387,V:V,s-
fałsz,fałszywy,0.8979577,N:ADJ,-ywy
szary,szarość,0.68577075,ADJ:N,-ość
padać,spadać,0.87677854,V:V,s-
ukryć,ukrywać,0.95391935,V:V,-ywać
sława,sławny,0.7941958,N:ADJ,-ny
prawda,prawdziwy,0.8178537,N:ADJ,-iwy
dym,dymić,0.75967747,N:V,-ić
zebrać,zbierać,0.96081173,V:V,-ać
kołysać,kołysanka,0.77456015,V:N,-anka
Londyn,londyński,0.77368087,N:ADJ,-ski
łopata,łopatka,0.94178563,N:N,-ka
wyłączyć,wyłącznik,0.6736238,V:N,-nik
lód,lodowiec,0.7757409,N:N,-owiec
mrzeć,umrzeć,0.6179699,V:V,u-
kazać,zakazać,0.6533716,V:V,za-
